player_id,year,team,position,age
a411f294-e560-5295-b1b9-e21b75e78f06,1962,Czechoslovakia,Forward,20.0
b153a5d7-1318-59fc-84be-2dd2a83f9b32,1930,Belgium,Forward,27.0
bc81da45-b079-54f4-b69a-bdb381d72db9,2014,Ghana,Goalkeeper,25.0
9be45e2e-782d-5877-96bc-9d9750deb612,1998,England,Defender,32.0
3d6cd9a3-7ca6-576a-a0de-1884f75b170a,2022,United States,Midfielder,23.0
5fdd088e-39ec-51be-9d90-464737ae89d2,1962,England,Midfielder,33.0
fdda705b-2ce0-540c-8f6d-4dfabbf51b5c,2006,Ghana,Defender,28.0
395d7c0b-ec76-5b6a-a8c4-81cf55e50051,2006,Ghana,Forward,31.0
29b82710-f591-506e-b466-bc56663284dc,2010,Ghana,Defender,25.0
52a7a937-9bbc-5fea-a88b-61395892fda0,2006,Togo,Forward,22.0
f2db908f-f62e-577f-9b90-ba28a7fbc754,2022,Canada,Defender,27.0
76bdc990-5ae1-5abc-bee8-c50074814c69,1966,Spain,Midfielder,27.0
76bdc990-5ae1-5abc-bee8-c50074814c69,1962,Spain,Midfielder,23.0
eed20e6c-aae9-5629-8444-b1704be05d33,2010,Nigeria,Defender,22.0
8b08b945-5e20-5acc-8c9c-966a53f587ab,1950,Brazil,Forward,28.0
de7bf951-df1a-5695-a527-e1d8ed10fb84,1994,Nigeria,Midfielder,24.0
de7bf951-df1a-5695-a527-e1d8ed10fb84,2002,Nigeria,Midfielder,32.0
de7bf951-df1a-5695-a527-e1d8ed10fb84,1998,Nigeria,Midfielder,28.0
cbf379af-07d5-581c-b563-69d1072ba02f,2022,Germany,Forward,20.0
a46d6ea8-7e1c-53c4-ad33-983b11931b2a,2010,Ghana,Forward,21.0
07df70fd-a249-5f26-9165-88fb8c150132,2006,Ghana,Goalkeeper,26.0
07ae2a05-93e0-521a-83ac-22a36b0208b4,1970,Brazil,Goalkeeper,24.0
c41dce96-d593-51fe-9366-4cb7f43cefb7,2014,Ghana,Midfielder,27.0
139bdcc1-19e5-5b3c-8d8f-2bd5246292f7,2006,Brazil,Forward,24.0
52429be9-022b-5ce0-95da-656f6280faf1,2018,Peru,Defender,28.0
054b6673-e100-5f3c-ade1-d06b011dfcd1,1950,Brazil,Forward,27.0
da85d3aa-ae52-5e2d-aafc-18ed5459b115,2022,Switzerland,Midfielder,25.0
9de1f173-f7fe-5998-b781-cb64b4246275,1938,Switzerland,Forward,28.0
586e46fb-49d7-5b96-9546-f62a7f0a00cf,1938,Switzerland,Forward,28.0
d8230e63-39a0-5de4-bffd-b21ef9c2c35f,2010,Netherlands,Midfielder,24.0
629651a6-3c42-56eb-bc4c-a908b08421a5,2014,Ghana,Defender,28.0
3c5ff5b3-5da7-57de-8582-3a1144df2603,2022,Qatar,Forward,26.0
1029942f-0cc2-5a3b-b103-bf268a6af765,2010,Nigeria,Defender,30.0
1029942f-0cc2-5a3b-b103-bf268a6af765,2002,Nigeria,Defender,22.0
3fc044ed-894b-5be3-b612-15e67aafbda9,1966,Soviet Union,Defender,27.0
3fc044ed-894b-5be3-b612-15e67aafbda9,1970,Soviet Union,Defender,31.0
df13a9fa-d304-5158-a5d9-0b22d3171f14,1938,Brazil,Midfielder,24.0
7f2d4b76-ed6d-528a-a5e9-372602a90484,2022,Ghana,Midfielder,21.0
526f655d-8f24-5780-9c1a-234fc5fa447e,2006,Togo,Goalkeeper,28.0
1f81e672-448c-59b8-a590-b229aa2c9ef9,2014,Nigeria,Goalkeeper,30.0
c0d56a83-4ae3-5738-9cd7-5dddbcfcf763,1994,Cameroon,Defender,27.0
a61f0073-804b-5b49-ad4d-b94febc6020d,2006,Togo,Midfielder,29.0
313d2748-4c45-55ca-9257-38146c6a7b68,1994,Nigeria,Goalkeeper,28.0
658da350-1005-52a9-929d-af5327f66d39,2010,Denmark,Defender,26.0
569d8610-74c9-5f2b-8338-69b12ea00556,2002,Nigeria,Forward,20.0
06ab6da5-e247-5139-8333-44e93cd3b4c7,2002,United States,Defender,34.0
06ab6da5-e247-5139-8333-44e93cd3b4c7,1998,United States,Defender,30.0
9bf28500-9450-5bf3-beb2-1402e518bd1f,1978,Tunisia,Midfielder,27.0
b4c0690b-6349-5c3a-92d9-63fd8f8a4045,1994,Nigeria,Goalkeeper,27.0
432b256a-fbcb-5af1-8243-17362f96fe06,2022,Morocco,Defender,26.0
a1cc8b80-3d74-5137-b43c-54db272fbbd8,2018,Colombia,Midfielder,33.0
a1cc8b80-3d74-5137-b43c-54db272fbbd8,2014,Colombia,Midfielder,29.0
42d1c649-637f-5f11-abfa-99398772b2cb,2014,Mexico,Defender,28.0
42d1c649-637f-5f11-abfa-99398772b2cb,2010,Mexico,Defender,24.0
b31f3a65-1bf7-5f10-9111-c5a030b07076,1958,Paraguay,Goalkeeper,25.0
1e5493b7-07e4-5eb0-9ff9-57e00313bf9e,2022,Costa Rica,Midfielder,19.0
7beeaa97-582d-58ca-8a20-1629a4604b8d,1990,Uruguay,Forward,26.0
7beeaa97-582d-58ca-8a20-1629a4604b8d,1986,Uruguay,Forward,22.0
5ef0b968-4604-5f0c-ab87-97d2b2689266,1998,Spain,Defender,29.0
09405042-cb73-592d-a58b-1cd675d02b76,1998,Paraguay,Defender,23.0
