year,team,position,avg_age_p_pos,avg_age
1950,United States,Forward,29.0,27.72222222222222
1950,United States,Goalkeeper,26.5,27.72222222222222
1950,United States,Midfielder,26.333333333333332,27.72222222222222
1950,Uruguay,Defender,25.833333333333332,25.681818181818183
1950,Uruguay,Forward,24.2,25.681818181818183
1950,Uruguay,Goalkeeper,33.0,25.681818181818183
1950,Uruguay,Midfielder,25.5,25.681818181818183
1950,Yugoslavia,Defender,28.0,27.59090909090909
1950,Yugoslavia,Forward,26.0,27.59090909090909
1950,Yugoslavia,Goalkeeper,28.5,27.59090909090909
1950,Yugoslavia,Midfielder,28.571428571428573,27.59090909090909
1954,Austria,Defender,25.6,26.636363636363637
1954,Austria,Forward,27.285714285714285,26.636363636363637
1954,Austria,Goalkeeper,28.0,26.636363636363637
1954,Austria,Midfielder,26.142857142857142,26.636363636363637
1954,Belgium,Defender,26.4,26.772727272727273
1954,Belgium,Forward,27.142857142857142,26.772727272727273
1954,Belgium,Goalkeeper,25.666666666666668,26.772727272727273
1954,Belgium,Midfielder,27.142857142857142,26.772727272727273
1954,Brazil,Defender,26.5,26.0
1954,Brazil,Forward,25.25,26.0
1954,Brazil,Goalkeeper,25.0,26.0
1954,Brazil,Midfielder,27.2,26.0
1954,Czechoslovakia,Defender,25.4,26.181818181818183
1954,Czechoslovakia,Forward,26.3,26.181818181818183
1954,Czechoslovakia,Goalkeeper,26.333333333333332,26.181818181818183
1954,Czechoslovakia,Midfielder,26.75,26.181818181818183
1954,England,Defender,28.75,28.636363636363637
1954,England,Forward,28.1,28.636363636363637
1954,England,Goalkeeper,29.5,28.636363636363637
1954,England,Midfielder,29.166666666666668,28.636363636363637
1954,France,Defender,27.833333333333332,26.045454545454547
1954,France,Forward,24.625,26.045454545454547
1954,France,Goalkeeper,27.666666666666668,26.045454545454547
1954,France,Midfielder,25.2,26.045454545454547
1954,Hungary,Defender,27.166666666666668,26.636363636363637
1954,Hungary,Forward,25.666666666666668,26.636363636363637
1954,Hungary,Goalkeeper,26.666666666666668,26.636363636363637
1954,Hungary,Midfielder,28.0,26.636363636363637
1954,Italy,Defender,24.75,26.681818181818183
1954,Italy,Forward,26.0,26.681818181818183
1954,Italy,Goalkeeper,28.333333333333332,26.681818181818183
1954,Italy,Midfielder,28.166666666666668,26.681818181818183
1954,Mexico,Defender,27.428571428571427,26.181818181818183
1954,Mexico,Forward,24.6,26.181818181818183
1954,Mexico,Goalkeeper,28.5,26.181818181818183
1954,Mexico,Midfielder,27.0,26.181818181818183
1954,Scotland,Defender,26.2,26.772727272727273
1954,Scotland,Forward,27.333333333333332,26.772727272727273
1954,Scotland,Goalkeeper,25.0,26.772727272727273
1954,Scotland,Midfielder,26.666666666666668,26.772727272727273
1954,South Korea,Defender,32.6,30.0
1954,South Korea,Forward,28.875,30.0
1954,South Korea,Goalkeeper,28.5,30.0
1954,South Korea,Midfielder,29.8,30.0
1954,Switzerland,Defender,28.833333333333332,27.318181818181817
1954,Switzerland,Forward,25.833333333333332,27.318181818181817
1954,Switzerland,Goalkeeper,27.666666666666668,27.318181818181817
1954,Switzerland,Midfielder,27.142857142857142,27.318181818181817
1954,Turkey,Defender,23.5,23.772727272727273
1954,Turkey,Forward,24.625,23.772727272727273
1954,Turkey,Goalkeeper,20.666666666666668,23.772727272727273
1954,Turkey,Midfielder,25.333333333333332,23.772727272727273
1954,Uruguay,Defender,26.0,26.954545454545453
1954,Uruguay,Forward,25.7,26.954545454545453
1954,Uruguay,Goalkeeper,32.5,26.954545454545453
1954,Uruguay,Midfielder,27.833333333333332,26.954545454545453
1954,West Germany,Defender,27.333333333333332,28.045454545454547
1954,West Germany,Forward,27.285714285714285,28.045454545454547
1954,West Germany,Goalkeeper,29.0,28.045454545454547
1954,West Germany,Midfielder,29.166666666666668,28.045454545454547
1954,Yugoslavia,Defender,27.375,27.0
1954,Yugoslavia,Forward,26.142857142857142,27.0
1954,Yugoslavia,Goalkeeper,28.0,27.0
1954,Yugoslavia,Midfielder,27.2,27.0
1958,Argentina,Defender,28.25,28.181818181818183
1958,Argentina,Forward,27.1,28.181818181818183
1958,Argentina,Goalkeeper,33.0,28.181818181818183
1958,Argentina,Midfielder,28.5,28.181818181818183
1958,Austria,Defender,28.833333333333332,27.545454545454547
1958,Austria,Forward,25.77777777777778,27.545454545454547
1958,Austria,Goalkeeper,30.0,27.545454545454547
1958,Austria,Midfielder,27.75,27.545454545454547
1958,Brazil,Defender,27.714285714285715,25.954545454545453
1958,Brazil,Forward,23.5,25.954545454545453
1958,Brazil,Goalkeeper,29.5,25.954545454545453
1958,Brazil,Midfielder,26.0,25.954545454545453
1958,Czechoslovakia,Defender,25.666666666666668,25.545454545454547
1958,Czechoslovakia,Forward,24.75,25.545454545454547
1958,Czechoslovakia,Goalkeeper,28.0,25.545454545454547
1958,Czechoslovakia,Midfielder,25.2,25.545454545454547
1958,England,Defender,27.0,25.318181818181817
1958,England,Forward,25.428571428571427,25.318181818181817
1958,England,Goalkeeper,24.333333333333332,25.318181818181817
1958,England,Midfielder,24.428571428571427,25.318181818181817
1958,France,Defender,30.166666666666668,28.045454545454547
1958,France,Forward,25.0,28.045454545454547
1958,France,Goalkeeper,30.333333333333332,28.045454545454547
1958,France,Midfielder,27.857142857142858,28.045454545454547
1958,Hungary,Defender,27.5,27.227272727272727
1958,Hungary,Forward,26.88888888888889,27.227272727272727
1958,Hungary,Goalkeeper,28.5,27.227272727272727
1958,Hungary,Midfielder,27.0,27.227272727272727
1958,Mexico,Defender,26.857142857142858,26.904761904761905
1958,Mexico,Forward,26.571428571428573,26.904761904761905
1958,Mexico,Goalkeeper,29.0,26.904761904761905
1958,Mexico,Midfielder,26.0,26.904761904761905
1958,Northern Ireland,Defender,28.4,27.136363636363637
1958,Northern Ireland,Forward,26.636363636363637,27.136363636363637
1958,Northern Ireland,Goalkeeper,26.666666666666668,27.136363636363637
1958,Northern Ireland,Midfielder,27.333333333333332,27.136363636363637
1958,Paraguay,Defender,24.666666666666668,23.95
1958,Paraguay,Forward,22.9,23.95
1958,Paraguay,Goalkeeper,23.5,23.95
1958,Paraguay,Midfielder,27.5,23.95
1958,Scotland,Defender,29.0,25.727272727272727
1958,Scotland,Forward,21.7,25.727272727272727
1958,Scotland,Goalkeeper,27.5,25.727272727272727
1958,Scotland,Midfielder,30.333333333333332,25.727272727272727
1958,Soviet Union,Defender,27.166666666666668,26.681818181818183
1958,Soviet Union,Forward,26.1,26.681818181818183
1958,Soviet Union,Goalkeeper,25.333333333333332,26.681818181818183
1958,Soviet Union,Midfielder,29.0,26.681818181818183
1958,Sweden,Defender,29.6,29.5
1958,Sweden,Forward,29.285714285714285,29.5
1958,Sweden,Goalkeeper,31.333333333333332,29.5
1958,Sweden,Midfielder,28.857142857142858,29.5
1958,Wales,Defender,25.0,25.363636363636363
1958,Wales,Forward,25.625,25.363636363636363
1958,Wales,Goalkeeper,25.0,25.363636363636363
1958,Wales,Midfielder,25.5,25.363636363636363
1958,West Germany,Defender,26.833333333333332,27.40909090909091
1958,West Germany,Forward,28.0,27.40909090909091
1958,West Germany,Goalkeeper,29.333333333333332,27.40909090909091
1958,West Germany,Midfielder,26.571428571428573,27.40909090909091
1958,Yugoslavia,Defender,25.875,26.0
1958,Yugoslavia,Forward,25.285714285714285,26.0
1958,Yugoslavia,Goalkeeper,28.0,26.0
1958,Yugoslavia,Midfielder,26.0,26.0
1962,Argentina,Defender,25.5,25.954545454545453
1962,Argentina,Forward,24.875,25.954545454545453
1962,Argentina,Goalkeeper,30.0,25.954545454545453
1962,Argentina,Midfielder,27.0,25.954545454545453
1962,Brazil,Defender,29.5,28.136363636363637
1962,Brazil,Forward,25.125,28.136363636363637
1962,Brazil,Goalkeeper,33.5,28.136363636363637
1962,Brazil,Midfielder,28.75,28.136363636363637
1962,Bulgaria,Defender,25.6,25.318181818181817
1962,Bulgaria,Forward,26.285714285714285,25.318181818181817
1962,Bulgaria,Goalkeeper,26.333333333333332,25.318181818181817
1962,Bulgaria,Midfielder,23.714285714285715,25.318181818181817
1962,Chile,Defender,25.0,25.954545454545453
1962,Chile,Forward,25.25,25.954545454545453
1962,Chile,Goalkeeper,29.0,25.954545454545453
1962,Chile,Midfielder,26.142857142857142,25.954545454545453
1962,Colombia,Defender,26.714285714285715,26.227272727272727
1962,Colombia,Forward,24.88888888888889,26.227272727272727
1962,Colombia,Goalkeeper,32.0,26.227272727272727
1962,Colombia,Midfielder,25.5,26.227272727272727
1962,Czechoslovakia,Defender,28.142857142857142,26.272727272727273
1962,Czechoslovakia,Forward,25.22222222222222,26.272727272727273
1962,Czechoslovakia,Goalkeeper,25.666666666666668,26.272727272727273
1962,Czechoslovakia,Midfielder,25.666666666666668,26.272727272727273
1962,England,Defender,26.166666666666668,26.636363636363637
1962,England,Forward,25.666666666666668,26.636363636363637
1962,England,Goalkeeper,26.5,26.636363636363637
1962,England,Midfielder,27.75,26.636363636363637
1962,Hungary,Defender,25.142857142857142,25.59090909090909
1962,Hungary,Forward,25.875,25.59090909090909
1962,Hungary,Goalkeeper,29.333333333333332,25.59090909090909
1962,Hungary,Midfielder,23.0,25.59090909090909
