year,team,opponent_team,result,team_conf,opponent_conf
2022,Japan,Spain,Win,AFC,UEFA
1998,Cameroon,Austria,Draw,CAF,UEFA
1958,Soviet Union,England,Win,UEFA,UEFA
1986,Argentina,Bulgaria,Win,CONMEBOL,UEFA
2002,Mexico,United States,Loss,CONCACAF,CONCACAF
2006,Ivory Coast,Serbia and Montenegro,Win,CAF,UEFA
2014,France,Germany,Loss,UEFA,UEFA
1974,Chile,East Germany,Draw,CONMEBOL,UEFA
2006,Portugal,Mexico,Win,UEFA,CONCACAF
2006,Mexico,Iran,Win,CONCACAF,AFC
1962,Chile,Yugoslavia,Win,CONMEBOL,UEFA
2018,Brazil,Costa Rica,Win,CONMEBOL,CONCACAF
1950,England,Chile,Win,UEFA,CONMEBOL
2014,Netherlands,Argentina,Loss,UEFA,CONMEBOL
1970,Peru,Bulgaria,Win,CONMEBOL,UEFA
1998,Germany,United States,Win,UEFA,CONCACAF
1990,West Germany,Netherlands,Win,UEFA,UEFA
2018,England,Belgium,Loss,UEFA,UEFA
2010,Switzerland,Honduras,Draw,UEFA,CONCACAF
2002,Sweden,Argentina,Draw,UEFA,CONMEBOL
1978,Brazil,Spain,Draw,CONMEBOL,UEFA
2018,Argentina,Croatia,Loss,CONMEBOL,UEFA
2018,France,Peru,Win,UEFA,CONMEBOL
1974,Poland,Italy,Win,UEFA,UEFA
2006,South Korea,Togo,Win,AFC,CAF
1950,Yugoslavia,Mexico,Win,UEFA,CONCACAF
1958,Brazil,Austria,Win,CONMEBOL,UEFA
2018,Iran,Portugal,Draw,AFC,UEFA
1998,United States,Iran,Loss,CONCACAF,AFC
1930,Chile,France,Win,CONMEBOL,UEFA
2018,Serbia,Brazil,Loss,UEFA,CONMEBOL
2022,Mexico,Poland,Draw,CONCACAF,UEFA
2010,Uruguay,Germany,Loss,CONMEBOL,UEFA
2006,Ecuador,Costa Rica,Win,CONMEBOL,CONCACAF
1974,Italy,Haiti,Win,UEFA,CONCACAF
2002,Italy,Croatia,Loss,UEFA,UEFA
2006,Togo,France,Loss,CAF,UEFA
1966,Soviet Union,Chile,Win,UEFA,CONMEBOL
1954,Italy,Belgium,Win,UEFA,UEFA
2010,France,Mexico,Loss,UEFA,CONCACAF
1978,Argentina,Italy,Loss,CONMEBOL,UEFA
1986,England,Paraguay,Win,UEFA,CONMEBOL
2014,Argentina,Iran,Win,CONMEBOL,AFC
2006,Ghana,United States,Win,CAF,CONCACAF
2014,England,Italy,Loss,UEFA,UEFA
2010,Slovakia,Italy,Win,UEFA,UEFA
2018,Croatia,Denmark,Win,UEFA,UEFA
1990,Republic of Ireland,Netherlands,Draw,UEFA,UEFA
1986,Soviet Union,Canada,Win,UEFA,CONCACAF
1962,Yugoslavia,West Germany,Win,UEFA,UEFA
2006,Japan,Croatia,Draw,AFC,UEFA
1986,West Germany,Scotland,Win,UEFA,UEFA
1982,Poland,Italy,Loss,UEFA,UEFA
1982,West Germany,Spain,Win,UEFA,UEFA
1962,Brazil,Mexico,Win,CONMEBOL,CONCACAF
1966,West Germany,Uruguay,Win,UEFA,CONMEBOL
2014,United States,Portugal,Draw,CONCACAF,UEFA
2014,Costa Rica,England,Draw,CONCACAF,UEFA
1986,Bulgaria,Italy,Draw,UEFA,UEFA
2010,Portugal,North Korea,Win,UEFA,AFC
2002,England,Sweden,Draw,UEFA,UEFA
2018,Japan,Poland,Loss,AFC,UEFA
2002,Republic of Ireland,Cameroon,Draw,UEFA,CAF
1994,Saudi Arabia,Sweden,Loss,AFC,UEFA
2002,Slovenia,Paraguay,Loss,UEFA,CONMEBOL
2006,Germany,Argentina,Win,UEFA,CONMEBOL
1950,Sweden,Italy,Win,UEFA,UEFA
2002,United States,Portugal,Win,CONCACAF,UEFA
2018,Iceland,Croatia,Loss,UEFA,UEFA
1982,Poland,Cameroon,Draw,UEFA,CAF
2010,Netherlands,Spain,Loss,UEFA,UEFA
1986,Argentina,Belgium,Win,CONMEBOL,UEFA
2014,Russia,South Korea,Draw,UEFA,AFC
2018,Morocco,Iran,Loss,CAF,AFC
2018,Serbia,Switzerland,Loss,UEFA,UEFA
2014,Netherlands,Chile,Win,UEFA,CONMEBOL
2002,Sweden,Senegal,Loss,UEFA,CAF
1990,Cameroon,Romania,Win,CAF,UEFA
2002,Brazil,Belgium,Win,CONMEBOL,UEFA
1962,England,Argentina,Win,UEFA,CONMEBOL
2022,Australia,Denmark,Win,AFC,UEFA
2018,Switzerland,Costa Rica,Draw,UEFA,CONCACAF
1930,Argentina,France,Win,CONMEBOL,UEFA
1982,Brazil,Soviet Union,Win,CONMEBOL,UEFA
1990,South Korea,Spain,Loss,AFC,UEFA
1978,Argentina,France,Win,CONMEBOL,UEFA
1958,Sweden,Mexico,Win,UEFA,CONCACAF
2018,France,Croatia,Win,UEFA,UEFA
2014,Germany,Ghana,Draw,UEFA,CAF
1982,Belgium,El Salvador,Win,UEFA,CONCACAF
2018,Brazil,Belgium,Loss,CONMEBOL,UEFA
2018,Nigeria,Argentina,Loss,CAF,CONMEBOL
2022,Serbia,Switzerland,Loss,UEFA,UEFA
1998,Romania,England,Win,UEFA,UEFA
2006,Brazil,Ghana,Win,CONMEBOL,CAF
1974,Haiti,Poland,Loss,CONCACAF,UEFA
1954,Yugoslavia,France,Win,UEFA,UEFA
1938,Switzerland,Germany,Win,UEFA,UEFA
1994,Brazil,Italy,Win,CONMEBOL,UEFA
1934,Germany,Belgium,Win,UEFA,UEFA
1978,Netherlands,Iran,Win,UEFA,AFC
2018,Denmark,France,Draw,UEFA,UEFA
1974,Bulgaria,Uruguay,Draw,UEFA,CONMEBOL
1994,Belgium,Morocco,Win,UEFA,CAF
1934,Italy,United States,Win,UEFA,CONCACAF
1994,Germany,South Korea,Win,UEFA,AFC
1978,Poland,Mexico,Win,UEFA,CONCACAF
1978,France,Hungary,Win,UEFA,UEFA
1954,Hungary,Uruguay,Win,UEFA,CONMEBOL
1986,South Korea,Italy,Loss,AFC,UEFA
1986,Argentina,England,Win,CONMEBOL,UEFA
2018,England,Panama,Win,UEFA,CONCACAF
1990,Spain,Yugoslavia,Loss,UEFA,UEFA
1958,France,West Germany,Win,UEFA,UEFA
1974,Yugoslavia,West Germany,Loss,UEFA,UEFA
2018,Belgium,Japan,Win,UEFA,AFC
2010,North Korea,Ivory Coast,Loss,AFC,CAF
1986,Belgium,France,Loss,UEFA,UEFA
2006,Togo,Switzerland,Loss,CAF,UEFA
1998,Netherlands,Argentina,Win,UEFA,CONMEBOL
1986,Canada,France,Loss,CONCACAF,UEFA
1990,Brazil,Costa Rica,Win,CONMEBOL,CONCACAF
2014,South Korea,Belgium,Loss,AFC,UEFA
2018,Russia,Croatia,Loss,UEFA,UEFA
1982,Honduras,Yugoslavia,Loss,CONCACAF,UEFA
1962,Chile,Italy,Win,CONMEBOL,UEFA
1978,Austria,Spain,Win,UEFA,UEFA
2006,Paraguay,Trinidad and Tobago,Win,CONMEBOL,CONCACAF
1974,Australia,Chile,Draw,AFC,CONMEBOL
2006,Serbia and Montenegro,Netherlands,Loss,UEFA,UEFA
1986,Iraq,Mexico,Loss,AFC,CONCACAF
2014,France,Honduras,Win,UEFA,CONCACAF
1986,Denmark,West Germany,Win,UEFA,UEFA
2018,South Korea,Mexico,Loss,AFC,CONCACAF
2018,Croatia,England,Win,UEFA,UEFA
1994,Brazil,Russia,Win,CONMEBOL,UEFA
1982,West Germany,England,Draw,UEFA,UEFA
1982,Spain,England,Draw,UEFA,UEFA
2002,Japan,Russia,Win,AFC,UEFA
1994,Norway,Mexico,Win,UEFA,CONCACAF
1990,West Germany,England,Win,UEFA,UEFA
1962,Hungary,Argentina,Draw,UEFA,CONMEBOL
1958,Brazil,England,Draw,CONMEBOL,UEFA
2010,Nigeria,South Korea,Draw,CAF,AFC
1934,Austria,Hungary,Win,UEFA,UEFA
2022,England,Iran,Win,UEFA,AFC
1966,England,Uruguay,Draw,UEFA,CONMEBOL
1978,Brazil,Italy,Win,CONMEBOL,UEFA
2018,Japan,Senegal,Draw,AFC,CAF
1982,Argentina,El Salvador,Win,CONMEBOL,CONCACAF
1986,Belgium,Mexico,Loss,UEFA,CONCACAF
1982,Spain,Northern Ireland,Loss,UEFA,UEFA
2018,Panama,Tunisia,Loss,CONCACAF,CAF
1974,Yugoslavia,Zaire,Win,UEFA,CAF
1986,Argentina,West Germany,Win,CONMEBOL,UEFA
1986,Portugal,Morocco,Loss,UEFA,CAF
1966,Soviet Union,North Korea,Win,UEFA,AFC
2006,Czech Republic,Ghana,Loss,UEFA,CAF
1966,West Germany,Switzerland,Win,UEFA,UEFA
2006,Angola,Portugal,Loss,CAF,UEFA
2018,Iran,Spain,Loss,AFC,UEFA
2002,Croatia,Mexico,Loss,UEFA,CONCACAF
1970,Bulgaria,Morocco,Draw,UEFA,CAF
2006,Italy,United States,Draw,UEFA,CONCACAF
1982,Argentina,Brazil,Loss,CONMEBOL,CONMEBOL
2022,Poland,Argentina,Loss,UEFA,CONMEBOL
2010,Honduras,Chile,Loss,CONCACAF,CONMEBOL
1998,Germany,Croatia,Loss,UEFA,UEFA
2010,France,South Africa,Loss,UEFA,CAF
1990,Argentina,Italy,Win,CONMEBOL,UEFA
1982,Hungary,El Salvador,Win,UEFA,CONCACAF
2002,Paraguay,South Africa,Draw,CONMEBOL,CAF
2006,Brazil,Croatia,Win,CONMEBOL,UEFA
2014,France,Nigeria,Win,UEFA,CAF
1986,Paraguay,Iraq,Win,CONMEBOL,AFC
2022,Morocco,Spain,Win,CAF,UEFA
1998,Italy,Chile,Draw,UEFA,CONMEBOL
1970,Brazil,Czechoslovakia,Win,CONMEBOL,UEFA
1954,West Germany,Turkey,Win,UEFA,UEFA
2010,Argentina,Mexico,Win,CONMEBOL,CONCACAF
2018,Portugal,Morocco,Win,UEFA,CAF
2014,Uruguay,England,Win,CONMEBOL,UEFA
1954,Uruguay,Scotland,Win,CONMEBOL,UEFA
1958,Brazil,France,Win,CONMEBOL,UEFA
1958,Argentina,Northern Ireland,Win,CONMEBOL,UEFA
1978,Scotland,Iran,Draw,UEFA,AFC
1986,Portugal,England,Win,UEFA,UEFA
1962,Brazil,Spain,Win,CONMEBOL,UEFA
1954,West Germany,Yugoslavia,Win,UEFA,UEFA
1998,Brazil,Morocco,Win,CONMEBOL,CAF
1994,Republic of Ireland,Norway,Draw,UEFA,UEFA
1998,England,Tunisia,Win,UEFA,CAF
1998,Netherlands,Yugoslavia,Win,UEFA,UEFA
2006,England,Portugal,Loss,UEFA,UEFA
2018,Brazil,Switzerland,Draw,CONMEBOL,UEFA
1990,Argentina,Soviet Union,Win,CONMEBOL,UEFA
2006,France,South Korea,Draw,UEFA,AFC
2018,Germany,Sweden,Win,UEFA,UEFA
1974,Sweden,Poland,Loss,UEFA,UEFA
2010,Chile,Spain,Loss,CONMEBOL,UEFA
1978,West Germany,Tunisia,Draw,UEFA,CAF
2002,Germany,Saudi Arabia,Win,UEFA,AFC
1950,Sweden,Spain,Win,UEFA,UEFA
1990,Czechoslovakia,West Germany,Loss,UEFA,UEFA
1974,Argentina,Brazil,Loss,CONMEBOL,CONMEBOL
2006,Spain,France,Loss,UEFA,UEFA
1998,Paraguay,Bulgaria,Draw,CONMEBOL,UEFA
1958,West Germany,Yugoslavia,Win,UEFA,UEFA
1994,Germany,Bolivia,Win,UEFA,CONMEBOL
1986,Denmark,Uruguay,Win,UEFA,CONMEBOL
2002,China,Costa Rica,Loss,AFC,CONCACAF
1990,Cameroon,Colombia,Win,CAF,CONMEBOL
2002,Denmark,France,Win,UEFA,UEFA
2014,Ghana,United States,Loss,CAF,CONCACAF
1990,Italy,Uruguay,Win,UEFA,CONMEBOL
1978,Argentina,Hungary,Win,CONMEBOL,UEFA
2014,Australia,Spain,Loss,AFC,UEFA
2006,Tunisia,Saudi Arabia,Draw,CAF,AFC
1986,South Korea,Bulgaria,Draw,AFC,UEFA
2006,Germany,Portugal,Win,UEFA,UEFA
2006,Brazil,Australia,Win,CONMEBOL,AFC
1990,United Arab Emirates,Colombia,Loss,AFC,CONMEBOL
1978,Brazil,Sweden,Draw,CONMEBOL,UEFA
1962,Mexico,Czechoslovakia,Win,CONCACAF,UEFA
1962,West Germany,Chile,Win,UEFA,CONMEBOL
1974,Sweden,Bulgaria,Draw,UEFA,UEFA
2002,Argentina,England,Loss,CONMEBOL,UEFA
2014,Brazil,Chile,Win,CONMEBOL,CONMEBOL
2002,Portugal,South Korea,Loss,UEFA,AFC
1986,Poland,Portugal,Win,UEFA,UEFA
1998,Netherlands,Mexico,Draw,UEFA,CONCACAF
2006,Switzerland,South Korea,Win,UEFA,AFC
2010,Brazil,Ivory Coast,Win,CONMEBOL,CAF
1998,Argentina,England,Win,CONMEBOL,UEFA
1962,Argentina,Bulgaria,Win,CONMEBOL,UEFA
1990,Costa Rica,Scotland,Win,CONCACAF,UEFA
1994,Brazil,Cameroon,Win,CONMEBOL,CAF
1990,West Germany,Argentina,Win,UEFA,CONMEBOL
1950,Sweden,Paraguay,Draw,UEFA,CONMEBOL
1962,Spain,Mexico,Win,UEFA,CONCACAF
1970,Mexico,Soviet Union,Draw,CONCACAF,UEFA
2014,Italy,Costa Rica,Loss,UEFA,CONCACAF
1930,Yugoslavia,Brazil,Win,UEFA,CONMEBOL
1938,Cuba,Romania,Win,CONCACAF,UEFA
1990,England,Republic of Ireland,Draw,UEFA,UEFA
1982,France,Northern Ireland,Win,UEFA,UEFA
1970,Brazil,England,Win,CONMEBOL,UEFA
1982,Brazil,New Zealand,Win,CONMEBOL,OFC
1986,Paraguay,Belgium,Draw,CONMEBOL,UEFA
2010,Germany,Spain,Loss,UEFA,UEFA
1978,Italy,Netherlands,Loss,UEFA,UEFA
2010,Spain,Portugal,Win,UEFA,UEFA
1994,Germany,Spain,Draw,UEFA,UEFA
2022,Netherlands,Qatar,Win,UEFA,AFC
1938,Italy,France,Win,UEFA,UEFA
1998,Germany,Yugoslavia,Draw,UEFA,UEFA
1982,Honduras,Northern Ireland,Draw,CONCACAF,UEFA
1958,West Germany,Czechoslovakia,Draw,UEFA,UEFA
2006,Iran,Angola,Draw,AFC,CAF
2006,Germany,Sweden,Win,UEFA,UEFA
1958,France,Scotland,Win,UEFA,UEFA
2014,Costa Rica,Greece,Win,CONCACAF,UEFA
1978,Poland,Tunisia,Win,UEFA,CAF
1970,Soviet Union,El Salvador,Win,UEFA,CONCACAF
1930,Uruguay,Yugoslavia,Win,CONMEBOL,UEFA
1982,England,Czechoslovakia,Win,UEFA,UEFA
2022,Wales,Iran,Loss,UEFA,AFC
1998,Colombia,Tunisia,Win,CONMEBOL,CAF
2010,Argentina,Germany,Loss,CONMEBOL,UEFA
1998,Nigeria,Bulgaria,Win,CAF,UEFA
1978,Italy,Hungary,Win,UEFA,UEFA
1990,Italy,United States,Win,UEFA,CONCACAF
1934,Spain,Brazil,Win,UEFA,CONMEBOL
2002,Brazil,China,Win,CONMEBOL,AFC
2006,Brazil,France,Loss,CONMEBOL,UEFA
2014,Greece,Ivory Coast,Win,UEFA,CAF
1966,Chile,North Korea,Draw,CONMEBOL,AFC
2006,Saudi Arabia,Ukraine,Loss,AFC,UEFA
1994,Belgium,Saudi Arabia,Loss,UEFA,AFC
1986,Italy,France,Loss,UEFA,UEFA
1994,United States,Switzerland,Draw,CONCACAF,UEFA
1994,Netherlands,Saudi Arabia,Win,UEFA,AFC
1978,Peru,Iran,Win,CONMEBOL,AFC
2002,Italy,Ecuador,Win,UEFA,CONMEBOL
1990,Republic of Ireland,Romania,Win,UEFA,UEFA
1990,Austria,Czechoslovakia,Loss,UEFA,UEFA
2018,Uruguay,France,Loss,CONMEBOL,UEFA
2022,France,Denmark,Win,UEFA,UEFA
2014,Chile,Australia,Win,CONMEBOL,AFC
1998,United States,Yugoslavia,Loss,CONCACAF,UEFA
1978,Italy,West Germany,Draw,UEFA,UEFA
2002,Germany,Brazil,Loss,UEFA,CONMEBOL
1994,Cameroon,Sweden,Draw,CAF,UEFA
2018,Belgium,Panama,Win,UEFA,CONCACAF
1998,South Africa,Denmark,Draw,CAF,UEFA
1978,Spain,Sweden,Win,UEFA,UEFA
2010,Mexico,Uruguay,Loss,CONCACAF,CONMEBOL
1982,Italy,Peru,Draw,UEFA,CONMEBOL
2010,South Africa,Mexico,Draw,CAF,CONCACAF
1930,United States,Paraguay,Win,CONCACAF,CONMEBOL
1950,Brazil,Mexico,Win,CONMEBOL,CONCACAF
1998,France,Saudi Arabia,Win,UEFA,AFC
1982,Soviet Union,Scotland,Draw,UEFA,UEFA
2006,Portugal,France,Loss,UEFA,UEFA
1966,Portugal,Brazil,Win,UEFA,CONMEBOL
1958,Sweden,Hungary,Win,UEFA,UEFA
1978,Netherlands,Peru,Draw,UEFA,CONMEBOL
1994,Greece,Nigeria,Loss,UEFA,CAF
1962,Hungary,Bulgaria,Win,UEFA,UEFA
2014,Netherlands,Mexico,Win,UEFA,CONCACAF
1990,Republic of Ireland,Egypt,Draw,UEFA,CAF
1954,Austria,Scotland,Win,UEFA,UEFA
1978,Argentina,Poland,Win,CONMEBOL,UEFA
1978,Scotland,Netherlands,Win,UEFA,UEFA
1966,Italy,Chile,Win,UEFA,CONMEBOL
1978,Argentina,Netherlands,Win,CONMEBOL,UEFA
2022,Netherlands,Ecuador,Draw,UEFA,CONMEBOL
2006,United States,Czech Republic,Loss,CONCACAF,UEFA
2022,Wales,England,Loss,UEFA,UEFA
1986,Uruguay,West Germany,Draw,CONMEBOL,UEFA
1990,Sweden,Scotland,Loss,UEFA,UEFA
2014,Brazil,Croatia,Win,CONMEBOL,UEFA
2002,France,Senegal,Loss,UEFA,CAF
1994,Argentina,Nigeria,Win,CONMEBOL,CAF
1958,Brazil,Wales,Win,CONMEBOL,UEFA
2002,Turkey,China,Win,UEFA,AFC
1974,Brazil,East Germany,Win,CONMEBOL,UEFA
1982,Italy,Brazil,Win,UEFA,CONMEBOL
1982,Argentina,Hungary,Win,CONMEBOL,UEFA
1974,Sweden,Uruguay,Win,UEFA,CONMEBOL
2010,Uruguay,Ghana,Win,CONMEBOL,CAF
1974,Poland,Argentina,Win,UEFA,CONMEBOL
1978,Peru,Poland,Loss,CONMEBOL,UEFA
1990,Brazil,Scotland,Win,CONMEBOL,UEFA
2022,South Korea,Ghana,Loss,AFC,CAF
1938,Hungary,Switzerland,Win,UEFA,UEFA
1998,Scotland,Morocco,Loss,UEFA,CAF
1982,West Germany,Chile,Win,UEFA,CONMEBOL
2010,Denmark,Japan,Loss,UEFA,AFC
1958,Yugoslavia,France,Win,UEFA,UEFA
1962,Soviet Union,Uruguay,Win,UEFA,CONMEBOL
1994,Italy,Spain,Win,UEFA,UEFA
1974,Netherlands,Argentina,Win,UEFA,CONMEBOL
1990,Yugoslavia,Colombia,Win,UEFA,CONMEBOL
2010,United States,Ghana,Loss,CONCACAF,CAF
1998,France,Paraguay,Win,UEFA,CONMEBOL
2010,Uruguay,Netherlands,Loss,CONMEBOL,UEFA
1994,Brazil,Sweden,Draw,CONMEBOL,UEFA
1998,Spain,Paraguay,Draw,UEFA,CONMEBOL
2002,South Korea,Italy,Win,AFC,UEFA
2002,Saudi Arabia,Republic of Ireland,Loss,AFC,UEFA
1986,Spain,Brazil,Loss,UEFA,CONMEBOL
1998,Jamaica,Croatia,Loss,CONCACAF,UEFA
2006,England,Paraguay,Win,UEFA,CONMEBOL
1958,Mexico,Wales,Draw,CONCACAF,UEFA
1962,England,Bulgaria,Draw,UEFA,UEFA
2014,Belgium,Algeria,Win,UEFA,CAF
1986,Argentina,South Korea,Win,CONMEBOL,AFC
2022,Argentina,Croatia,Win,CONMEBOL,UEFA
2022,Japan,Croatia,Loss,AFC,UEFA
