year,team,opponent_team,result,team_conf,opponent_conf
1966,Portugal,North Korea,Win,UEFA,AFC
2022,Iran,United States,Loss,AFC,CONCACAF
1938,Brazil,Sweden,Win,CONMEBOL,UEFA
2014,Switzerland,France,Loss,UEFA,UEFA
2006,Sweden,Paraguay,Win,UEFA,CONMEBOL
2010,Argentina,Nigeria,Win,CONMEBOL,CAF
1974,East Germany,West Germany,Win,UEFA,UEFA
1998,France,South Africa,Win,UEFA,CAF
2010,Argentina,South Korea,Win,CONMEBOL,AFC
1978,Tunisia,Mexico,Win,CAF,CONCACAF
1970,West Germany,Morocco,Win,UEFA,CAF
2018,Egypt,Uruguay,Loss,CAF,CONMEBOL
1978,Italy,Austria,Win,UEFA,UEFA
2022,Argentina,France,Win,CONMEBOL,UEFA
1970,Peru,Morocco,Win,CONMEBOL,CAF
1982,France,Czechoslovakia,Draw,UEFA,UEFA
2002,Spain,Republic of Ireland,Win,UEFA,UEFA
1982,Soviet Union,Poland,Draw,UEFA,UEFA
1982,Spain,Honduras,Draw,UEFA,CONCACAF
1982,West Germany,Austria,Win,UEFA,UEFA
1934,Sweden,Argentina,Win,UEFA,CONMEBOL
2018,Saudi Arabia,Egypt,Win,AFC,CAF
1994,Italy,Republic of Ireland,Loss,UEFA,UEFA
2022,Cameroon,Brazil,Win,CAF,CONMEBOL
2010,Italy,New Zealand,Draw,UEFA,OFC
1990,West Germany,United Arab Emirates,Win,UEFA,AFC
2010,Portugal,Brazil,Draw,UEFA,CONMEBOL
1970,Italy,Sweden,Win,UEFA,UEFA
2018,Colombia,England,Loss,CONMEBOL,UEFA
2006,Ecuador,Germany,Loss,CONMEBOL,UEFA
1970,Romania,Czechoslovakia,Win,UEFA,UEFA
2002,Russia,Tunisia,Win,UEFA,CAF
2014,Belgium,United States,Win,UEFA,CONCACAF
1962,Chile,Soviet Union,Win,CONMEBOL,UEFA
2014,Switzerland,Ecuador,Win,UEFA,CONMEBOL
1962,Brazil,Czechoslovakia,Win,CONMEBOL,UEFA
